iter	Passed	Remaining
0	4	402
1	5	279
2	7	228
3	7	181
4	9	178
5	10	161
6	11	154
7	12	148
8	14	144
9	15	138
10	16	130
11	17	126
12	18	121
13	19	117
14	19	112
15	20	109
16	21	107
17	23	107
18	24	106
19	26	105
20	28	106
21	29	105
22	30	103
23	31	99
24	32	96
25	32	93
26	34	92
27	35	92
28	37	91
29	38	89
30	39	88
31	41	87
32	42	86
33	43	84
34	45	84
35	46	83
36	48	82
37	49	80
38	51	79
39	51	77
40	53	77
41	54	75
42	56	74
43	56	72
44	58	71
45	59	70
46	60	68
47	62	67
48	63	65
49	64	64
50	65	63
51	67	62
52	69	61
53	69	59
54	71	58
55	72	57
56	73	55
57	74	53
58	74	51
59	76	50
60	76	49
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	40
67	84	39
68	86	38
69	86	37
70	88	36
71	89	34
72	91	33
73	92	32
74	92	30
75	94	29
76	95	28
77	96	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	104	19
84	105	18
85	106	17
86	108	16
87	109	14
88	112	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	120	6
95	121	5
96	123	3
97	125	2
98	126	1
99	127	0
